English,Turkish
Ashlar Shale Table,Kesme Kilden Masa
Ashlar Shale Fireplace,Kesme Kilden Şömine
Ashlar Shale Chair,Kesme Kilden Sandalye
Ashlar Shale Bench,Kesme Yaprak Taşı Tezgahı
Ashlar Sandstone Table,Kesme Kumtaşından Masa
Ashlar Sandstone Fireplace,Kesme Kumtaşından Şömine
Ashlar Sandstone Chair,Kesme Kumtaşından Sandalye
Ashlar Sandstone Bench,Kesme Kumtaşı Tezgahı
Ashlar Limestone Table,Kesme Kireç Taşından Masa
Ashlar Limestone Fireplace,Kesme Kireç Taşından Şömine
Ashlar Limestone Chair,Kesme Kireç Taşından Sandalye
Ashlar Limestone Bench,Kesme Kireç Taşı Tezgahı
Ashlar Large Stone Fountain,Büyük Kesme Taş Çeşme
Ashlar Large Shale Fountain,Küçük Kesme Yaprak Taşı Çeşme
Ashlar Large Sandstone Fountain,Büyük Kesme Kumtaşı Çeşmesi
Ashlar Large Limestone Fountain,Büyük Kesme Kalker Taşı Çeşmesi
Ashlar Large Granite Fountain,Büyük Kesme Granit Çeşmesi
Ashlar Large Gneiss Fountain,Büyük Kesme Gnays Çeşmesi
Ashlar Large Basalt Fountain,Büyük Kesme Bazalt Taşı Çeşmesi
Ashlar Granite Table,Kesme Granit Masa
Ashlar Granite Fireplace,Kesme Granit Şömine
Ashlar Granite Chair,Kesme Granit Sandalye
Ashlar Granite Bench,Kesme Granit Tezgah
Ashlar Gneiss Table,Kesme Gnays Masa
Ashlar Gneiss Fireplace,Kesme Gnays Şömine
Ashlar Gneiss Chair,Kesme Gnays Sandalye
Ashlar Gneiss Bench,Kesme Gnays Tezgah
Ashlar Basalt Table,Kesme Bazalttan Masa
Ashlar Basalt Fireplace,Kesme Bazalttan Şömine
Ashlar Basalt Chair,Kesme Bazalttan Sandalye
Ashlar Basalt Bench,Kesme Bazalt Tezgah
Arrastra,
A primitive rock mill of dragged boulders.,Sürüklenen büyük aşınmış kayalar için ilkel bir taş değirmeni.
Amendments,Değişiklikler
Advanced Masonry Table,Gelişmiş Duvarcılık Masası
A workbench for the advanced shaping of rocks into beautiful stone.,Kayaların son derece kaliteli taşlar haline getirilebilmesini sağlayan bir tezgah.
Advanced Carpentry Table,Gelişmiş Marangoz Masası
Adorned Ashlar Stone Table,Süslenmiş Kesme Taş Masa
Adorned Ashlar Stone Chair,Süslenmiş Kesme Taş Sandalye
Adorned Ashlar Stone Bench,Süslenmiş Kesme Taş Tezgah
Adorned Ashlar Shale Table,Süslenmiş Kesme Yaprak Taş Masası
Adorned Ashlar Shale Chair,Süslenmiş Kesme Yaprak Taş Sandalyesi
Adorned Ashlar Shale Bench,Süslenmiş Kesme Yaprak Taş Tezgahı
Adorned Ashlar Sandstone Table,Süslenmiş Kesme Kumtaşı Masa
Adorned Ashlar Sandstone Chair,Süslenmiş Kesme Kumtaşı Sandalye
Adorned Ashlar Sandstone Bench,Süslenmiş Kesme Kumtaşı Tezgah
Adorned Ashlar Limestone Table,Süslenmiş Kesme Kireç Taşı Masası
Adorned Ashlar Limestone Chair,Süslenmiş Kesme Kireç Taşı Sandalyesi
Adorned Ashlar Limestone Bench,Süslenmiş Kesme Kireç Taşı Tezgahı
Adorned Ashlar Granite Table,Süslenmiş Kesme Granit Masa
Adorned Ashlar Granite Chair,Süslenmiş Kesme Granit Sandalye
Adorned Ashlar Granite Bench,Süslenmiş Kesme Granit Tezgah
Adorned Ashlar Gneiss Table,Süslenmiş Kesme Gnays Masa
Adorned Ashlar Gneiss Chair,Süslenmiş Kesme Gnays Sandalye
Adorned Ashlar Gneiss Bench,Süslenmiş Kesme Gnays Tezgah
Adorned Ashlar Basalt Table,Süslenmiş Kesme Bazalt Masa
Adorned Ashlar Basalt Chair,Süslenmiş Kesme Bazalt Sandalye
Adorned Ashlar Basalt Bench,Süslenmiş Kesme Bazalt Tezgah
Modern Rock Drill,Modern Kaya Matkabı
Iron Rock Drill,Demir Kaya Matkabı
Composites,Kompozitler
Composites Skill Book,Kompozit Beceri Kitabı
Composites Skill Scroll,Kompozit Beceri Tomarı
Advanced Masonry,İleri Seviye Duvarcılık
Advanced Masonry Skill Book,İleri Seviye Duvarcılık Beceri Kitabı
Advanced Masonry Skill Scroll,İleri Seviye Duvarcılık Beceri Parşömeni
Raw Food,Çiğ yemek
Grain,Tahıl
Plant to grow a ceiba sapling.,Floş fidanı yetiştirmek için ek.
Vegetable,Sebze
Root,Kök
Bullrush Seed,Hasır Otu Tohumu
Plant to grow bullrush.,Hasır Otu yetiştirmek için ek.
Bullrush,Hasır Otu
Bullrush Seed Pack,Hasır Otu Tohum Destesi
Amanita Mushroom Spores,Amanita Mantarı Sporları
"Plant to grow amanita mushrooms. Not sure why you'd want these poisonous mushrooms, though.",Amanita mantarı yetiştirmek için ek. Yine de bu zehirli mantarları neden isteyeceğinden pek emin değilim.
AmanitaMushroom,AmanitaMantarı
Amanita Mushroom Spores Pack,Amanita Mantarı Spor Destesi
Pitcher Plant,Etobur Bitki
Buttonbush,Bal Çanı
Pitch,Tezgâh
Burnable Fuel,Yanıcı Yakıt
Carcass,Ceset
Marine Life,Deniz Yaşamı
Fish,Balık
Steel Saw Blade,Çelik Testere Bıçağı
SawBlade,Testere Bıçağı
Steel Gearbox,Çelik Dişli Kutusu
Softwood Board,Yumuşak Tahta
A higher quality softwood board used for long lasting furniture.,Uzun ömürlü mobilyalar için kullanılan yüksek kaliteli yumuşak tahta.
Recurve Bow,Çekmeli Yay
Ribbed steel bars for reinforcing stuctures.,Yapıları güçlendirmek için nervürlü çelik çubuklar.
Tool,Araç
Fiber,Lif
A binding pitch useful as a mortar.,Harç olarak kullanışlı olan bağlayıcı bir zift.
A document containing important research information. Used to discover new skills at the research table.,Önemli araştırmaları içeren bir dosya. Araştırma masasında yeni beceriler keşfetmek için kullanılır.
Animal Skin,Hayvan Derisi
Iron Saw Blade,Demir Testere Bıçağı
Hardwood Board,Sert Tahta
A higher quality hardwood board used for long lasting furniture.,Uzun ömürlü mobilyalar için kullanılan yüksek kaliteli sert tahta.
Gold Wiring,Altın Kablolama
A length of gold conductive wire useful for a variety of purposes.,Çeşitli amaçlar için kullanılabilecek olan iletim gücü yüksek altından bir kablo.
Wiring,Kablolama
A length of copper conductive wire useful for a variety of purposes.,Çeşitli amaçlar için kullanılabilecek olan iletim gücü yüksek bir kablo.
A higher quality board used for long lasting furniture.,Uzun ömürlü mobilyalar için kullanılan yüksek kaliteli tahta.
Advanced Circuit,Gelişmiş Devre
Salad,Salata
Porridge,Yulaf Lapası
Topped Porridge,Kaplı Yulaf Lapası
Fruit,Meyve
A simple water and suger combination heated until the sugar dissolves.,Şeker eriyene kadar ısıtılmış basit su ve şeker karışımı.
Root Campfire Stew,Kamp Ateşinde Yahni
Root Campfire Salad,Kamp Ateşinde Salata
Meat,Et
Pirozhki,
Pastry Dough,Milföy Böreği
Pastry,Pasta
Meaty Stew,Etli Yahni
Leavened Dough,Mayalı Hamur İşi
Jungle Campfire Stew,Karışık Kamp Ateşinde Yahni
Jungle Campfire Salad,Kamp Ateşinde Karışık Salata
Used to make collids for bursts of flavor.,Yiyeceklere ekstra lezzet katmak için kullanılır.
A handfull of small wild berries. I'm your huckleberry.,Bir avuç dolusu yabani meyve. Sıkı dostlar kadar sağlamdır.
Fruit Tart,Meyve Turtası
Fruit Muffin,Meyveli Çörek
Fried Vegetables,Kızarmış Sebze
Fried Vegetable,Kızarmış Sebze
Fried Taro,Kızarmış Kulkas
Fried Hearts Of Palm,Kızarmış Palmiye Kalbi
Fried Fiddleheads,Kızarmış Eğreltiotu Ucu
Fried Camas,Kızarmış Cama
Field Campfire Stew,Otlu Kamp Ateşinde Yahni
Greens,Yeşillik
Fern Campfire Salad,Füjerli Kamp Ateşinde Salata
Fungus,Küf Mantarı
The blackened char on this tomato would contrast well with the red skin if there was any unburt surface left.,"Domates üzerindeki bu kısmen yanık kısım, o ince kırmızı kabukla birlikte güzel bir görüntü oluşturuyor."
Charred Mushrooms,Güveçte Mantar
Charred Heart Of Palm,Güveçte Palmiye Kalbi
Charred Fireweed Shoots,Pişmiş Yakı Otu Filizleri
Charred Cactus Fruit,Güveçte Kaktüs Meyvesi
Charred Beans,Güveçte Fasulye
Campfire Salad,Kamp ateşi Salatası
Boiled Grains,Haşlanmış Tahıl
Beet Greens,Pancar Yaprağı
The leafy greens from a beet with a distinctive red stem.,Kendine has kırmızı kökleri ile birlikte pancardan alınmış yapraklı yeşillikler.
Beet Campfire Salad,Pancarlı Kamp Ateşi Salatası
A sweet pastry with seperated sections that look a bit like a claw.,"Tatlı hamurdan yapılmış olan, dışarıdan bir pençe izlenimi veren bir yufka."
Baked Vegetable,Kavrulmuş Sebze
Baked Tomato,Kavrulmuş Domates
Baked Taro,Kavrulmuş Gölevez
Baked Heart Of Palm,Kavrulmuş Palmiye Kalbi
Baked Corn,Kavrulmuş Mısır
Baked Beet,Kavrulmuş Pancar
"Charred agave leaves are too fiberous to eat entirely, but you can certainly chew them.",Pişmiş sabır otu yaprakları bütün halde tüketmek için çok liflidir ancak istersen yaprakları çiğneyebilirsin.
Window Wall,Cam Bölmesi
Fence,Çit
Window,Pencere
Wall Trim,Duvar Kaplaması
Wall,Duvar
Under Stairs,Merdiven Altı
Under Brace,
Thin Column,İnce Sütun
Stairs Turn,
Stairs Corner,Köşeli Merdiven
Stairs,Merdiven
Slope Turn,Eğimli Dönüş
Slope Side,
Slope Point,Eğim Noktası
Slope Flat,
Slope Corner,Eğimli Köşe
Side Fence,
Side Brace,
Roof,Çatı
RampD,RampaD
RampC,RampaC
RampB,RampaB
RampA,RampaA
Ladder,Merdiven
Floor,Zemin
Float Stairs Turn,
Float Stairs Corner,
Float Stairs,
Flat Roof,Düz Çatı
Double Window,Çift Pencere
Cube,Küp
Column,Sütun
Clad Wall,Kaplamalı Duvar
Chimney,Şömine
Brace,
Basic Slope Turn,
Basic Slope Side,
Basic Slope Point,Temel Eğim Noktası
Basic Slope Corner,Temel Eğim Köşesi
Aqueduct,Kemerli Su Yolu
Thin,İnce
Supports,Destekler
Slopes,Yamaçlar
Ramps,Rampalar
Climbing,Tırmanış
Basic,Temel
A pile of stones.,Taş yığını.
Rock,Kaya
Pipe,Boru
Steel Bar,Çelik Bar
Refined bar of steel.,Rafine edilmiş çelik kalıbı.
Spruce Log,Alaçam Kütüğü
Softwood,Yumuşak odun
Softwood Lumber,Yumuşak Odundan Kereste
Softwood Hewn Log,Yumuşak Yontulmuş Kütük
HewnLog,YontulmuşKütük
Slag,Cüruf
"A rock of varying hardness, useful for construction and as a host for iron ore. Sandstone is a sedimentary rock that forms when sand is buried deeply enough to lithify. Sometimes the shapes of dunes and ripples from an ancient desert or beach are preserved!","İnşaat işlerinde kullanılabilecek olan ve aynı zamanda demir barındıran dayanıklı taş türü. Kumtaşları derinlerdeki kumların altında kalarak sertleşir. Kimi zaman kumul tepeleri, büyük bir çöl yahut sahilden koparak, büyük kayalar oluştururlar!"
Saguaro Rib,Saguarodan Çubuk
Redwood Log,Kızılçam Kütüğü
Liquid Fuel,Sıvı Akaryakıt
Palm Log,Palmiye Kütüğü
Concentrated Ore,Konsantre Cevher
Oak Log,Meşe Kütüğü
Hardwood,Sert Odun
Mortared Shale,Harçlı Kil
Mortared Gneiss,Harçlı Gnays
Mortared Basalt,Harçlı Bazalt
Joshua Log,Joshua Kütüğü
Ore,Cevher
Iron Concentrate,Demir Konsantresi
Refined bar of iron.,İşlenmiş demir kalıbı.
Hardwood Lumber,Sert Odundan Kereste
Hardwood Hewn Log,Sert Yontulmuş Kütük
Gold Concentrate,Altın Konsantresi
Refined bar of gold.,Rafine edilmiş altın kalıbı.
Fir Log,Köknar Kütüğü
Crushed Stone,Kırma Taş
Crushed Rock,Kırılmış Kaya
Crushed Slag,Kırma Cüruf
Crushed Shale,Kırma Kil
Crushed Sandstone,Kırma Kumtaşı
Crushed Oil Shale,Kırılmış Tortu Şisti
Crushed Limestone,Kırma Kireç Taşı
Crushed Iron Ore,Kırma Demir Cevheri
Crushed Granite,Kırma Granit
Crushed Gold Ore,Kırma Altın Cevheri
Crushed Gneiss,Kırma Gnays
Crushed Copper Ore,Kırma Bakır Cevheri
Crushed Coal,Kırılmış Kömür
Crushed Basalt,Kırma Bazalt
Copper Concentrate,Bakır Konsantresi
Refined bar of copper.,Rafine edilmiş bakır kalıbı.
Composite Spruce Lumber,Kompozit Alaçam Kerestesi
A composite lumber made from a combination of wood and plastic.,Ahşap ve plastik birleştirilerek oluşturulmuş bir kereste.
Composite Saguaro Lumber,Kompozit Saguaro Kerestesi
Composite Redwood Lumber,Kompozit Kızılçam Kerestesi
Composite Palm Lumber,Kompozit Palmiye Kerestesi
Composite Oak Lumber,Kompozit Meşe Kerestesi
Composite Lumber,Kompozit Kereste
Composite Joshua Lumber,Kompozit Joshua Kerestesi
Composite Fir Lumber,Kompozit Köknar Kerestesi
Composite Ceiba Lumber,Kompozit Floş Kerestesi
Composite Cedar Lumber,Kompozit Sedir Kerestesi
Composite Birch Lumber,Kompozit Huş Kerestesi
Ceiba Log,Floş Kütüğü
Cedar Log,Sedir Kütüğü
Birch Log,Huş Kütüğü
Ashlar Stone,Kesme Taş
Ashlar Shale,Kesme Kil
Ashlar Sandstone,Kesme Kumtaşı
Ashlar Limestone,Kesme Kireç Taşı
Ashlar Granite,Kesme Granit
Ashlar Gneiss,Kesme Gnays
Ashlar Basalt,Kesme Bazalt
Parallel Processing: Composites,Eşanlı İşleme: Kompozitler
Parallel Processing: AdvancedMasonry,Eşanlı İşleme: İleri Seviye Fırıncılık
Lavish Workspace: Composites,Geniş Çalışma Alanı: Kompozitler
Lavish Workspace: AdvancedMasonry,Geniş Çalışma Alanı: İleri Seviye Duvarcılık
Frugal Workspace: Composites,Basit Çalışma Alanı: Kompozitler
Frugal Workspace: AdvancedMasonry,Basit Çalışma Alanı: İleri Seviye Duvarcılık
Focused Workflow: Composites,Odaklanılmış Meslek: Kompozitler
Focused Workflow: AdvancedMasonry,Odaklanılmış Meslek: İleri Seviye Duvarcılık
Oilfield,Petrol sahası
Tarantula Capacity,Tarantula Kapasitesi
SnappingTurtle Capacity,Yapışan Kaplumbağa Kapasitesi
PacificSardine Capacity,Pasifik Sardalyası Kapasitesi
MoonJellyfish Capacity,Ay Denizanası Kapasitesi
Jaguar Capacity,Jaguar Kapasitesi
Crab Capacity,Yengeç Kapasitesi
Coyote Capacity,Kır Kurdu Kapasitesi
Cod Capacity,Morina Kapasitesi
BlueShark Capacity,Mavi Köpekbalığı Kapasitesi
Bass Capacity,Levrek Kapasitesi
Alligator Capacity,Timsah Kapasitesi
Agouti Capacity,Aguti Kapasitesi
Build road,Yol inşa et
Claim land,Araziyi talep et
Prospect,İncele
Blasts appart rock.,Kayayı patlatarak parçalara ayırır.
Blasting Charge,
"Allows the creation of Demographics, which specify groups of citizens automatically based on criteria you define.",Belirlediğiniz ölçütlere göre vatandaşlık gruplarını otomatik olarak belirleyen toplumsal istatistikleri (Demografi) oluşturmaya imkan verir.
"Allows the creation of Election Processes, which are different kinds of elections with different settings (who can vote, who can veto, etc).","Farklı ayarlarla (kim oy verebilir, kim veto edebilir vs.) farklı türden seçimleri olan Seçim Süreçlerini oluşturmaya imkan verir."
"Allows the creation of District Maps, which define a set of districts.  Districts can then be specified in laws and other civic actions.",Birkaç bölgeyi tanımlayan Bölge Haritaları oluşturmaya imkan verir. Bölgeler daha sonra kanunlarda ve belediye işlerinde belirtilebilir.
"Allows the creation of the government, allowing all other civic objects to be created.",Diğer tüm kamu mallarının yaratılmasına olanak sağlayan hükumetin oluşturulmasına imkan verir.
Wall3Point,
A wall of blocks.,Bloklardan oluşan duvar.
Wall2Point,
Rectangle,Dikdörtgen
A flat rectangle of blocks.,Düz ve dikdörtgen bir blok.
Point,Puan
A single block.,Tek bir blok.
Line,Çizgi
A line of blocks.,Bir sıra halinde duran bloklar.
Box 3 Point,
A full box.,Dolu bir kutu.
Box 2 Point,
Leaf,Yaprak
Error inserting stat of type {0} into database,{0} türündeki durum veritabanına eklenirken hata oluştu
Stats Display Text,Metin istatistiklerini görüntüle
Stats Status,İstatistik Durumu
On what height the animal could climb?,Hayvan hangi yüksekliğe kadar tırmanabilir?
This server will be used as fallback to proxy traffic between server and client if no direct connection possible. Should be in following format: host_or_ip:port,"Bu sunucu, doğrudan bağlantı mümkün değilse, sunucu ile istemci arasındaki proxy trafiğine yedek olarak kullanılacak. Şu durumda olmalı: host_or_ip: port"
Currency associated with this mint: {0},Bu darphanenin eşleştiği para birimi: {0}
Inventory only accepts carried items,Envanter yalnızca taşınabilen ögeleri kabul eder
Can only add items that need repairing.,Yalnızca onarıma ihtiyaç duyan ögeler eklenebilir.
Inventory only accepts non-carried items,Envanter yalnızca taşınmayan ögeleri kabul ediyor
Inventory is too heavy,Envanter çok ağırlaşmış durumda
Inventory only accepts fuel,Envanter yalnızca yakıtı kabul eder
Inventory only accepts seeds,Envanter yalnızca tohumları kabul eder
Inventory only accepts clothing items fitting that slot,Envanter yalnızca bu yuvaya uygun olan giyim ögelerini kabul eder
Displays the citizen-run economy across the world.,Dünya çevresindeki vatandaşların sürdürdüğü ekonomi durumunu görüntüler.
Work list cannot be empty!,Çalışma listesi boş olamaz!
Declined by the player.,Oyuncu tarafından reddedildi.
Work Party,Çalışma Grubu
Contracts related to {0} recalculated,{0} ile alakalı kontratla yeniden hesaplandı
Nested clause failed because all sub-clauses failed:\n\n{0},İç İçe Koy işlemi başarısız çünkü hiçbir alt işlem gerçekleştirilmedi:\n\n{0}
Nested clause failed because at least one sub-clauses failed:\n\n{0},İç İçe Koy işlemi başarısız çünkü alt işlemlerden en az biri gerçekleşmemiş durumda:\n\n{0}
Nested clause failed because at least one sub-clause succeeded:\n\n{0},İç İçe Koy işlemi başarısız çünkü alt işlemlerden sadece biri gerçekleştirildi:\n\n{0}
"This clause allows players to define in words what they would like done.  When using this clause, the contract can no longer be auto-approved, and the client will have to approve it before accepting it. When accepting a contract with a custom clause, it is wise to first review the reputation of the citizen offering it, because it is fully at their discretion to approve or deny its completion.\n\nYou must uncheck {0} at the bottom of the contract to use this clause.","Bu madde, oyuncuların ne yapmak istediklerini belirtmelerini sağlar. Bu maddeyi kullanırken, kontrat otomatik olarak onaylanamaz ve müşterinin kabul etmeden önce onaylaması gerekir. Özel maddeye sahip bir kontratı kabul ederken, ilk önce onu sunan vatandaşın itibarını gözden geçirmek akıllıca olacaktır, çünkü kontratın tamamlanmasını onaylamak veya reddetmek tamamen sunan kişinin kendi takdirindedir.\n\nBu maddeyi kullanmak için sözleşmenin altındaki {0} işaretini kaldırmalısın."
