Context,English,French
,"A block was constructed or deconstructed (built in a form, from a hammer or otherwise).","Un bloc a été placé ou retiré (construit dans une forme, avec un marteau ou autre chose)."
,Was the block constructed or deconstructed?,Le bloc a été placé ou retiré ?
,A block was dug or mined from the ground.,Un bloc a été creusé ou miné du sol.
,A road block was tamped using a road tool.,La terre a été tassé en route à l'aide d'un outil routier.
,Ground was plowed.,Le sol a été labouré.
,Was the block dropped or picked up?,Le bloc a-t-il été jeté ou ramassé ?
,Was the block rubble or not when picked up?,Le bloc était-il un déchet quand il a été ramassé ?
,The citizen who performed the pollution.,Le citoyen qui a produit de la pollution.
,The citizen currently being processed for the timer event.,Le citoyen est en train d'effectuer l'événement programmé.
,The position of the user when the timer triggers.,La position de l'utilisateur lorsque le minuteur se déclenche.
,Harvesting,Récolte
,No law triggered,Aucune loi déclenchée
,The object targeted.,L'objet visé.
,Can't place block within another world object,Impossible de placer un bloc à l'intérieur d'un objet du monde
,Can't pick up block contained within another world object,Impossible de ramasser un bloc contenu dans un autre objet du monde
,The sale listing is invalid: {0}.,La liste de vente n'est pas valide : {0}.
,{0} bought {1} from you,{0} vous a acheté {1}
,Deed no longer exists.,Le titre de propriété n'existe plus.
,No account selected.,Aucun compte sélectionné.
,No currency selected.,Aucune monnaie sélectionnée.
,Deed has no owners.,Le titre de propriété n'a pas de propriétaires.
,Deed seller no longer owns the deed.,Le vendeur du titre de propriété n'est plus propriétaire du titre de propriété.
,Deed seller no longer has access to payment receiving account.,Le vendeur du titre de propriété n'a plus accès au compte de réception des paiements.
,User Action Debug display turned off.,L'affichage du débogage de l'action utilisateur est désactivé.
,Global Action Debug display turned off.,L'affichage du débogage de l'action globale utilisateur est désactivé.
,Global Action Debug display turned on.,L'affichage du débogage de l'action globale utilisateur est activé.
,User Action Debug display turned on.,L'affichage du débogage de l'action utilisateur est activé.
,"Failed to load object of type '{0}'. It will be ignored, but may cause inconsistency and errors in other entities: ","Erreur lors du chargement de l'objet de type ""{0}"". Il sera ignoré, mais cela pourra causer des inconsistances et des erreurs avec d'autres entités :"
,{0} validation failed with following message: {1}. Config was removed and default config used instead.,{0} validation échouée avec le message suivant : {1}. La configuration a été supprimée et celle par défaut a été utilisée.
,Disabled because of invalid status.,Désactivé à cause d'un statut invalide.
,Target Account:,Compte cible :
,Report a bug,Signaler une erreur
,Bank Accounts you manage\n,Les comptes bancaires que vous gérez\n
,Create Account,Créer un compte
,Components,Onglets
,Value,Valeur
Chat command/Parameter for chat command /announce,announce,
Help text for chat command /announce,Sends an announce to all players,Envoie une annonce à tous les joueurs
,World Object Item,Objet du monde
,Item Moved,Objet déplacé
,Current Owner,Propriétaire actuel
,Receiver,Receveur
,Reason,Raison
,Crafted Item,Article fabriqué
,Order Count,Nombre de commandes
,Labor Added,Travail ajouté
,Labor Profession,Profession du travail
,Labor Skill,Compétence de travail
,Skill Level Needed,Niveau de compétence nécessaire
,Requirements To Take Role,Exigences requises pour jouer un rôle
,Access Type,Type d'accès
,Expand Roles,Ajouter des rôles
Chat command,showtick,
Help text for chat command /showtick,Show time until the next civics tick.,Afficher le temps jusqu'aux prochains tick civiques.
Chat command,ticknow,
Help text for chat command /ticknow,Force a tick on the civics system to happen immediately.,Forcer une sélection sur le système civique pour qu'elle se produise immédiatement.
,Actions To Run Once,Actions à exécuter une fois
,Taxation,
,Direct Transfer,Transfert direct
,Debt Payment,Paiement de la dette
,Contract Payment,Paiement de contrat
,Contract Refund,Remboursement de contrat
,Work Party Payment,Paiement du groupe de travail
,Toll Payment,Paiement du péage
,Crafting Fee,Frais de fabrication
,Escrow Storing,Stockage d'entiercement
,Store Sales,Ventes du magasin
,Deed Sales,Vente des titres de propriété
,Funds Allocation,Allocation des fonds
,Wage,Salaire
,Allow Invalid Civic Container Time In Minutes,Autoriser le temps de conteneur civique non valide en minutes
,Hewn Softwood,Rondins de bois tendre taillé
,Hewn Hardwood,Rondins de bois dur taillé
,Snapping Turtle Carcass,Cadavre de tortue alligator
,A dead Snapping Turtle.,Une tortue alligator morte.
,Pacific Sardine,Sardine du Pacifique
,A Pacific Sardine.,Une sardine du Pacifique.
,Jaguar Carcass,Cadavre de jaguar
,A dead Jaguar.,Un jaguar mort.
,Crab Carcass,Cadavre de crabe
,Coyote Carcass,Cadavre de coyote
,A dead Coyote.,Un coyote mort.
,A Cod.,Une morue.
,Blue Shark,Requin bleu
,A Blue Shark,Un requin bleu
,A dead bison.,Un bison mort.
,A Bass. ,Un bar.
,Alligator Carcass,Cadavre d'alligator
,A dead Alligator.,Un alligator mort.
,Agouti Carcass,Cadavre d'agouti
,Yield Potential,Potentiel de rendement
,Next tick in {0} (ticks every {1}),Prochaine vérification dans {0} (vérifications toutes les {1})
,{0} previously was recycled by stack trace:\n{1},{0} était auparavant recyclé par trace de pile :\n {1}
,and {0:count} more,et {0:count} de plus
,Currently Valid: {0},Actuellement valide : {0}
,{0} has made an announcement. {1},{0} a fait une annonce. {1}
,Inventory does not contain the {0} required for this action,L'inventaire ne contient pas de {0} nécessaire pour cette action
,Unable to move any items.,Impossible de déplacer des éléments.
,"Couldn't find any work orders to populate this work party with.  Create unfinished work orders first, then create the work party.","Impossible de trouver une commande à affecter à ce groupe de travail. Créez une commande non complétée, puis créez le groupe de travail."
,Couldn't spawn party: {0},Impossible de faire apparaître la partie : {0}
,Craft {0},Fabriquer {0}
,"You contributed to {0} but are not a member of it!  To get credit for your contributions, join the work party at {1}.","Vous avez contribué à {0} mais n'en êtes pas membre !  Pour pouvoir être récompensé de vos contributions, intégrez le groupe de travail à {1}."
,Post failed: {0},Échec de la publication : {0}
,{0} has been posted and is currently active.,{0} a été publié et est actuellement actif.
,You do not meet the general requirements to join this work party.{0}{1},Vous ne remplissez pas les conditions générales pour rejoindre ce groupe de travail.{0}{1}
,You do not meet the requirements to join that role.{0}{1},Vous ne remplissez pas les conditions pour rejoindre ce groupe de travail.{0}{1}
,"Could not add work to work party: {0} already is finished with both resources and labor, nothing left to do.","Impossible d'ajouter le travail au groupe de travail : {0} a déjà terminé avec les ressources et le travail, il ne reste plus rien à faire."
,Could not add work to work party: {0} is already on another work party: {1}.,Impossible d'ajouter du travail à un groupe de travail : {0} est déjà sur un autre groupe de travail : {1}.
,Work party deleted.,Groupe de travail supprimé.
,Remaining Work:,Travail restant :
,"You may only share skill as payment if you have the skillbook in your inventory, or the workparty is creating the skillbook. {0} skillbook was not found in inventory or work list.","Vous ne pouvez partager une compétence en tant que paiement que si vous avez le livre de compétences dans votre inventaire, ou si le groupe de travail crée le livre de compétences. {0} Le livre de compétences n'a pas été trouvé dans l'inventaire ou la liste de travail."
,General Requirements,Exigences requises
,"The list of laborers signed up for the project, and text descriptions of what their role is.  Each role can also have a skill requirement or other restriction.","La liste des travailleurs participant à ce projet, et un texte de description pour chacun de leur rôle. Chaque rôle peut avoir un prérequis de compétence ou d'autres restrictions."
,The list of work that is to be performed for this work party.,La liste des travaux qui doivent être effectués pour ce groupe de travail.
,Details on how payments will be made for this work party.,Détails sur la façon dont les paiements seront effectués pour ce groupe de travail.
,{0} is assigned to a different work party: {1}.,{0} est affecté à un autre groupe de travail : {1}.
,Needs,Besoins
,Add {0} for {1} at {2} ,Ajoutez {0} pour {1} à {2}
,{0}'s contribution is now over {1} and can {2},La contribution de {0} est désormais terminée {1} et peut {2}
,{0} queued to gain {1} when {2} finishes.,{0} en file d'attente pour gagner {1} quant {2} sera fini.
,"(Skipping payment of {0} reputation, because you cannot give reputation to yourself.)","(Ignorer le paiement de la réputation de {0}, car vous ne pouvez pas vous donner de réputation.)"
,{0} given {1} reputation from {2}.,{0} a donné {1} réputation de {2}.
,if work contributed is at least {0},si la contribution est d'au moins {0}
,gain knowledge of {0}.,acquérir des connaissances en {0}.
,receive {0}.,recevez {0}.
,Added by {0},Ajouté par {0}
,"Receive {0}, {1}","Recevez {0}, {1}"
,"Receive {0} reputation from {1}, {2}","Recevez {0} de réputation de {1}, {2}"
,{0} reputation,{0} de réputation
,Contributed to {0},A contribué à {0}
,occupant,
,manager,gestionnaire
,Any laborer who contributes at least this percent of the work will receive the reward.,Tout travailleur qui contribue au moins à ce pourcentage du travail recevra la récompense.
,"Which skills to share.  Must have access to the skillbook at posting time, or the work party is creating the skillbooks.","Quelles compétences partager.  Doit avoir accès au livre de compétences au moment de l'affichage, ou le groupe de travail crée les livres de compétences."
,Grants a title as payment.,Accorde un titre comme paiement.
,Which titles to grant.,Quels titres accorder.
