English,Polish
The citizen whose wealth is being calculated.,"Obywatel, którego majątek jest obliczany."
Is this citizen currently an admin?,Czy ten obywatel obecnie sprawuje funkcję admina?
The citizen being checked.,Obywatel jest sprawdzany.
Citizens,Obywatele
has,ma
doesn't have,nie ma
The citizen to test.,Obywatel do sprawdzenia.
The citizen being checked for this demographic.,"Obywatele, którzy są sprawdzani pod kątem tej grupy społecznej."
"When a citizen matches all of these requirements, they will be a member of this demographic.","Gdy obywatel spełni wszystkie te wymagania, będzie członkiem tej grupy demograficznej."
Requirements to be in this Demographic:,"Wymagania, które należy spełnić w tej grupie demograficznej:"
Requirements:,Wymagania:
Citizens in demographic: {0},Obywatele w grupie: {0}
Citizens not in demographic: {0},Obywatele spoza grupy demograficznej: {0}
The 'Active Players' demographic will check this many of the past days to determine the hours played by a user.,"Dane demograficzne „Aktywni gracze” sprawdzą ile z ostatnich dni, aby określić liczbę godzin granych przez użytkownika."
The 'Active Players' demographic will apply to any users who played this many hours within the past number of days specified above.,"Dane demograficzne „Aktywni gracze” będą dotyczyły wszystkich użytkowników, którzy grali przez tyle godzin w ciągu ostatnich podanych powyżej dni."
Display Text,Wyświetl tekst
Target Inventory,Docelowy ekwipunek
Target Bank Account,Docelowe konto bankowe
Successor,Następca
Rank,Ranga
Empty Blocks Count As Windows,Puste bloki liczone jako okna
Target Tick Delta Time MS,Docelowa różnica czasu między tikami MS
Parallel World Object Ticks,Tiki znaczników objektów międzyświatowych
Paused,Wstrzymano
Unpause At First Login,Wznów przy pierwszym logowaniu
Allow Fast Forward,Zezwól na szybkie przewijanie
Sleep Time Pass Multiplier,Mnożnik czasu spania
Time To Reach Maximum Time Rate,Czas do osiągnięcia maksymalnej szybkości czasowej
Collaboration Preset,Ustawienia Współpracy
Require Authentication,Wymaga uwierzytelnienia
Allow Debug Calls,Zezwalaj na wywołania debugowania
Un Stuck Disable Time,Odblokowano czas wyłączenia
Admin Commands Logging Level,Komendy administratora poziom logowania
Delay Nearby Food Check Minutes,Opóźnienie sprawdzania pobliskiego jedzenia w minutach
Nearby Food Spawn Location Radius,Zasięg miejsca pojawiania się pobliskiej żywności
Nearby Food Spawn Count,Obliczanie pobliskiego pojawiania się jedzenia
Use Exact Spawn Location,Użyj tej samej lokacji odrodzenia
Value Addition To Overthrow,Dodanie wartości do obalenia
Resigned,Zrezygnował/a
Preserve Generated Mods Assembly,Zachowaj wygenerowany zespół modów
Invalid WaterRange for {0}. Ensure you have most recent EcoSim.eco version and probably you may need to regen the layer if it disappeared with in-game admin command: /regenlayer {1},"Niewłaściwa wartość WaterRange dla {0}. Upewnij się, że posiadasz aktualną wersję EcoSim.eco oraz prawdopodobnie potrzebne będzie zregenerowanie warstwy, jeśli ta zniknęła z komendy admina wewnątrz gry: /regenlayer {1}"
and,oraz
", and",", oraz"
Not Found,Nie znaleziono
Updated {0}. It may take up to ten minutes to see the immediate consequences in the world.,"Zaktualizowano {0}. Może minąć nawet dziesięć minut, zanim zobaczysz natychmiastowe konsekwencje na świecie."
Updating {0} has no effect. Try different params.,Aktualizacja {0} nie ma żadnego efektu. Wypróbuj różne parametry.
Who can vote in elections of this type?,Kto może głosować w wyborach tego rodzaju?
Who can veto elections of this type?,Kto może wetować wybory tego rodzaju?
"After this many hours, the election will end with or without a winner.",Po tych godzinach wybory zakończą się z zwycięzcą lub bez niego.
"If this percentage of voters have cast their vote, then the election will end early (but not sooner than the Minimum Election Time).","Jeśli taki procent wyborców oddał swój głos, wybory zakończą się wcześniej (ale nie wcześniej niż w minimalnym czasie wyborów)."
Members: {0} Non-members: {1},Członkowie: {0} Osoby niebędące członkami: {1}
Defines rules about how the government works.,Określa zasady dotyczące działania rządu.
Which kind of civic actions does this rule apply to?,Do jakich działań obywatelskich odnosi się ta zasada?
"Defines which citizens can perform these kinds of actions immediately, without election.","Określa, którzy obywatele mogą wykonywać tego typu czynności natychmiast, bez wyborów."
Defines which citizens are allowed to propose an election that would perform this action.,"Określa, którzy obywatele mogą proponować wybory, które wykonają tę akcję."
Defines the kind of election that will be run to determine if the action should be taken.,"Określa rodzaj wyborów, które zostaną przeprowadzone w celu określenia, czy należy podjąć działanie."
Population Changes:,Zmiany w populacji:
Current Populations:,Obecne populacje:
Size:,Wielkość:
{0:username} {1:verb} by {2:bonus amount},{0:username} {1:verb} przez {2:bonus amount}
EcoSim.eco config isn't valid. Read more details above.,Konfiguracja EcoSim.eco jest nieprawidłowa. Przeczytaj więcej szczegółów powyżej.
Preserve or not auto-generated Eco.Mods.dll assembly. When server started it will be saved in current directory.,Zachowaj lub nie wygeneruj automatycznie zestawu Eco.Mods.dll. Po uruchomieniu serwer zostanie zapisany w bieżącym katalogu.
Editing Text​,Edytowanie tekstu
Name:,Nazwa:
Title:,Stanowisko:
Legislation,Prawodawstwo
Elected Titles\n,Wybrani na stanowiska\n
District,Dzielnica
Invalid! {0},Akcja nieprawidłowa! {0}
valid,prawidłowy
(invalid),(nieprawidłowy)
invalid,nieprawidłowy
v,
Only can use this command when targeting a vehicle,"Możesz użyć tej komendy tylko wtedy, kiedy zaznaczasz pojazd"
You're not authorized to do this.,Nie jesteś upoważniony do zrobienia tego.
{0} {1} on property.,{0} {1} na nieruchomości.
greater than,większy niż
Cannot specify a '{0}' {1}: {2}.,Nie można określić '{0}' {1}: {2}.
(Note: this will automatically become valid if {0} becomes active.),"(Notatka: to automatycznie stanie się poprawne, jeśli {0} zostanie aktywny/a)"
"Specifies how much wall blocks required to make one empty window or door block without penalty. It counts all wall blocks in the room, including window blocks itself.","Określa, ile bloków ścian jest wymaganych do wykonania jednego pustego bloku okna lub drzwi bez kary. Zlicza wszystkie bloki ścienne w pokoju, w tym same bloki okienne."
Room can't be created from wall block at {0},Nie można utworzyć pomieszczenia z bloku ściennego {0}
Room can't be created from window at {0},Pokój nie może zostać utworzony z widoku okna w {0}
"Room volume at {0} is too small. Should be at least 3 blocks, but current volume is {1}","Pokój o powierzchni {0} jest zbyt mały. Powinien mieć on co najmniej 3 bloki, a obecna powierzchnia wynosi {1}"
Room  at {0} can't have empty edges if AllowEmptyEdges is false. Currently have {1}.,Pokój {0} nie może mieć pustych krawędzi gdy AllowEmptyEdges jest ustawione na fałsz. Aktualnie ma {1}.
{0} complete: {1},Ukończono {1} przez {0}
Tutorial,Samouczek
Contains {0} Districts covering {1} square meters ({2} plots).,Zawiera {0} Dystryktów zajmujących {1} metrów kwadratowych ({2} działek).
District Maps,Mapy dzielnic
Please restart the game for the language change to take full effect.,"Prosimy zrestartować grę, by zmiana języka w pełni zadziałała."
Anonymous,Anonimowy
{0} added.,Dodano {0}.
Removed {0}.,Usunięto {0}.
Cannot remove users.,Nie można usunąć użytkowników.
No items of this tier were found,Nie znaleziono żadnych elementów tej klasy
No vehicles were found,Nie znaleziono żadnych pojazdów
Are you sure you want to leave this work party?  Your existing contribution of {0} will be lost.,Czy na pewno chcesz opuścić tę brygadę pracowniczą? Twój istniejący wkład w {0} zostanie zamknięty.
Cancelling will pay out all existing laborers any amounts they've earned this far. Are you sure?,Anulowanie wypłaci wszystkim istniejącym pracownikom wszelką kwotę jaką dotychczas zarobili. Jesteś pewien?
You're not a part of this work party.,Nie jesteś częścią tej brygady pracowniczej.
You're already a part of this work party.,Już jesteś częścią tej brygady pracowniczej.
You are now a laborer in {0}!,Jesteś teraz pracownikiem w {0}!
Cannot create more than {0} accounts.,Nie możesz stworzyć większej ilości kont niż {0}.
Invalid account.,Nieprawidłowa nazwa konta.
You don't have access to that account.,Nie masz dostępu do tego konta.
That is a permanent account and cannot be deleted.,To jest trwałe konto i nie może być usunięte.
"Account still has funds in it, cannot delete until they are removed.","Konto w dalszym ciągu posiada fundusze, nie może zostać usunięte póki środki nie znikną."
Cannot remove {0} from their personal account.,Nie można usunąć {0} z ich konta osobistego.
Name must be more than 3 characters.,"Nazwa musi posiadać więcej, niż 3 znaki."
{0} already exists.,{0} już istnieje.
Can't end an account name with 'Personal Account' for security.,Ze względów bezpieczeństwa nie można zakończyć nazwy konta słowem „Konto osobiste”.
Wages,Pensje
online and offline,online i offline
Wages Paid From Account,Wynagrodzenia wypłacane z konta
Wages:,Pensje:
Wages for being an occupant of this title.,Pensje za piastowanie tego stanowiska.
Elections Using This Process:,Wybory wykorzystujące ten proces:
Resign from {0},Zrezygnuj z {0}
Veto {0},Zawetuj {0}
resigned,zrezygnowany
Begin an election for a government office.,Rozpocznij wybory na urząd rządowy.
Join an election as a candidate.,Uczestnicz w wyborach jako kandydat.
Leave an election of which you are a candidate.,"Opuść wybory, w których jesteś kandydatem."
Forcibly remove an official from office.,Usuwa siłą urzędnika z danego stanowiska.
Resign from an elected title you hold.,Zrezygnuj z piastowanego przez siebie stanowiska.
Start Election,Rozpocznij wybory
Resign from Office,Zrezygnuj z urzędu
Veto Election,Zawetuj wybory
An anonymous citizen,Anonimowy obywatel
You are already in this election.,Już bierzesz udział w tych wyborach.
Elections of type {0} cannot be vetoed.,Rodzaj wyborów {0} nie może być zawetowany.
Elections of type {0} can only be vetoed by {1}.,Rodzaj wyborów {0} może być zawetowany tylko przez {1}.
{0}: {1} Ended {2} ago.,{0}: {1} zakończyło się {2} temu.
{0}: {1} Started {2} ago.,{0}: {1} Rozpoczęto {2} temu.
Finished.,Zakończone.
Active.,Aktywne.
Spawned in {0}:{1}{2},Pojawił się w {0}: {1} {2}
Cannot rename to {0}: this name already exists.,Nie można zmienić tej nazwy na {0}: ponieważ ta nazwa już istnieje.
"You continuously gain Character XP at the rate of {0} per real-day, multiplied by your {1}.","Ciągle zdobywasz XP postaci w tempie {0} na dzień rzeczywisty, pomnożone przez {1}."
Are you sure you want to remove {0}? You will lose access to the account immediately.,Czy na pewno chcesz usunąć {0}? Natychmiast utracisz dostęp do konta.
No account selected,Nie wybrano konta
"This work order is part of {0}, are you sure you want to remove it?","To zlecenie pracy jest częścią {0}, na pewno chcesz je usunąć?"
Couldn't find election.,Nie można znaleźć wyborów.
No elections found.,Nie znaleziono wyborów.
Couldn't legally start election:{0}{1},Nie można legalnie rozpocząć wyborów: {0} {1}
Do you have mods installed? Does the issue happen when no mods are installed?:,"Czy są zainstalowane mody? Czy problem występuje, gdy mody nie są zainstalowane?:"
Shale Brick,Cegła łupkowa
Object is destroyed.,Obiekt jest zniszczony.
Removed {0} {1}:{2}{3},Usunięto {0} {1}: {2}{3}
{0} cleared.,Wyczyszczono {0}.
Can't find an object matching '{0}' to spawn.,Nie można znaleźć obiektu pasującego do „{0}” aby się pojawił.
Work,Pracuj
Not enough money in {0},Brak odpowiedniej ilości pieniędzy w {0}
Transfer completed successfully!,Transfer zakończony pomyślnie!
{0} Wages,{0} Pensje
Admin assigned by {0},Administrator przypisany przez {0}
Admin unassigned by {0},Administrator wypisany przez {0}
Admin assigned,Administrator przypisany
citizen,obywatel
Re-elected,Ponownie wybrany
Replaced in election,Zastąpiony w wyborach
Re-elected in {0},Ponownie wybrany w {0}
Elected in {0},Wybrany w {0}
Time remaining in term: {0},Pozostały czas: {0}
Term Limit Expired,Termin minął
Successor to {0} (chosen from {1}),Następca {0} (wybrany z {1})
Remaining office holders,Pozostali pracownicy biurowi
"In the event that the office holder of this position leaves office not through election, they will be automatically replaced with one or more players from this title, randomly chosen.","W przypadku, gdy osoba zajmująca to stanowisko opuści stanowisko nie podczas wyborów, zostanie automatycznie zastąpiona przez jednego lub więcej losowo wybranych graczy z tego tytułu."
"If this is true, elections can start before the end of the office holder's term.","Jeśli to prawda, wybory mogą rozpocząć się przed końcem kadencji."
group,grupa
Not contained by any object.,Nie jest zawarte przez żaden obiekt.
Container {0} is disabled.,Kontener {0} jest wyłączony.
{0} errors:,{0} błędów:
