English,BrazilianPortuguese
The bank account the funds came from.,A conta bancária de onde vieram os fundos.
The bank account the funds went to.,A conta bancária para a qual os fundos foram.
The amount of funds received.,A quantidade de fundos recebidos.
The election voted in.,A eleição foi votada.
"If it's an election for a title, this is the title.","Se isso for uma eleição para um título, este é o título."
The profession of the gained specialty.,A profissão da especialidade ganha.
The specialty gained.,A especialidade ganha.
Level reached.,Nível alcançado.
The species of plant or animal.,A espécie de planta ou animal.
The position of the new plant.,A posição da nova planta.
"Destruction of a plant or animal, possibly yielding resources.","Destruição de uma planta ou animal, possivelmente rendendo recursos."
Was the tree felled?,A árvore foi derrubada?
The species of the tree.,A espécie da árvore.
Were the branches targeted?,Foi direcionado aos galhos da árvore?
Was the stump destroyed?,O toco foi destruído?
Currency used to pay the crafting fee.,Moeda usada para pagar a taxa de fabricação.
Amount paid in fee to craft.,Quantia paga em taxa para fabricação.
Was the item placed?,O item foi colocado?
Position of the dropped garbage.,Posição do lixo descartado.
The time when the action takes place.,A hora em que a ação ocorre.
The position where the interaction took place.,A posição onde a interação ocorreu.
The item used in the interaction.,O item usado na interação.
{0} missing from inventory.,{0} ausente do inventário.
Bank Accounts,Contas bancárias
NOT,NÃO
It can be overthrown if another constitution is created in a building exceeding this one by {0}%.,Ela pode ser derrubada se outra constituição for criada em um edifício que exceda esta em {0}%.
Trap is nonfunctional.,A armadilha não é funcional.
Civic Articles,Artigos cívicos
Election Processes,Processos eleitorais
Constitutions,Constituições
"To overthrow an existing government, a constitution must be placed in a building that exceeds the previous constitution's value by this percent.  100 = 100%","Para derrubar um governo existente, uma constituição deve ser colocada em um edifício que exceda o valor da constituição anterior nesse percentual. 100 = 100%"
Government:,Governo:
Add {0},Adicionar {0}
{0} not added.,{0} não adicionado(a).
{0} changed to {1}.,{0} mudado para {1}.
{0} not changed.,{0} não foi mudado.
Remove {0},Remover {0}
{0} removed.,{0} removido.
{0} not removed.,{0} não removido.
"Add a new civic element like laws, elected titles, civic articles, etc.","Adicione um novo elemento cívico, como leis, títulos eleitorais, artigos cívicos, etc."
Change an existing civic element,Alterar um elemento cívico existente
Remove an existing civic element,Remover um elemento cívico existente
Add Civic Element,Adicionar Elemento Cívico
Change Civic Element,Alterar Elemento Cívico
Remove Civic Element,Remover Elemento Cívico
You are not authorized to do that.,Você não está autorizado a fazer isso.
players,jogadores
This {0} is currently active in the world.,Este {0} está atualmente ativo no mundo.
"This {0} is currently in draft form, and has not been submitted.",Este {0} está atualmente em forma de rascunho e não foi enviado.
This {0} has failed to be accepted.,Este {0} não foi aceito.
This {0} has been proposed and is under election.,Este {0} foi proposto e está sob eleição.
This {0} has been removed and is no longer active.,Este {0} foi removido e não está mais ativo.
Draft,Rascunho
Proposed,Proposto
Propose Change,Propor Mudança
Empty Slot,Espaço vazio
Error,Erro
Treasury disabled.\nOnly players holding the following titles can change treasury settings.\n{0},Tesouraria desativada.\nSomente jogadores com os seguintes títulos podem alterar as configurações da tesouraria.\n{0}
"Treasury disabled.\nYou must create an elected title that gives treasury permissions, and then assign a player to it.",Tesouraria desativada.\nVocê deve criar um título eleitoral que conceda permissões a tesouraria e depois atribuir um jogador a ele.
Advanced Options,Opções Avançadas
Click to toggle display of advanced options for this object.,Clique para alternar a exibição de opções avançadas para este objeto.
Start Work Party,Iniciar Grupo de Trabalho
Invite other players to join together to complete these tasks.,Convide outros jogadores para se juntarem para concluir essas tarefas.
Open,Abrir
Click to display this object in a new window.,Clique para exibir este objeto em uma nova janela.
voice,
user,usuário
login,
time,tempo
destroy,
spawn,
fall,
impact,
size,
rain,
count,
radius,
tutorials,
reset,
task,
rooms,
test,
"Check the current surroundings to see if it's a room, and if not explain why not.","Verifica os arredores atuais para ver se é uma sala e, se caso não for, explique por que não."
repairall,
"Repairs all broken rooms. This command may take a long time and create heavy-load on the server, so only use it when many rooms are broken","Repara todas as salas quebradas. A execução deste comando pode demorar muito e sobre-carregar o servidor, portanto, use-o apenas quando houver muitas salas quebradas."
spawnrubble,
Rains rubble around the player.,Faz chover entulho ao redor do jogador.
blockTypeName,
clearrubble,
Clears rubble around the player.,Limpa todo o entulho ao redor do jogador.
set,
objects,
clear,
Removes objects of a given type.,Remove objetos de um determinado tipo.
typeName,
removeActive,
removeInactive,
list,
add,
edit,
Edit a specific object of a given type. Can specify by name or ID.,Edite um objeto específico de um determinado tipo. Pode ser especificado por nome ou ID.
partialObjectNameOrId,
remove,
objectNameOrId,
rate,
Displays or sets the current skill rate multiplier.,Exibe ou define o multiplicador de taxa de habilidade atual.
skillRate,
warnuser,
warnUser,
teleport,
move,
x,
y,
z,
setspawn,
Changes the spawn location to your current location,Altera a local de nascimento para a sua localização atual
massinteract,
Uses your currently selected tool on surrounding blocks,Usa sua ferramenta atualmente selecionada em blocos circundantes
trample,
Tramples the surrounding ground,Pisoteia o terreno ao redor
dump,
Dumps all items from your inventory.,Despeja todos os itens do seu inventário.
dumpcarried,
Dumps all carried items.,Despeja todos os itens que estão sendo carregados.
dumpselected,
Dumps all items in your selected toolbar slot.,Despeja todos os itens do espaço da barra de ferramentas selecionado.
fly,
Toggles fly mode,Ativa/desativa o modo de voo
record,
Toggles record mode,Ativa/desativa o modo de gravação
work,
Spends calories,Gasta calorias
useCalories,
all,
Unlocks all skills,Desbloqueia todas as habilidades
oneshot,
Kills nearest animal,Mata o animal mais próximo
spawnanimal,
Spawns a number of animals,Gera um número de animais
speciesName,
greenthumb,
Spawns random plants,Gera plantas aleatórias
trees,
massplant,
Spawns a bunch of one plant,Gera um monte de uma planta
killplants,
Kills all plants in an area,Mata todas as plantas em uma área
killtrees,
Cuts all trees in an area,Corta todas as árvores em uma área
spawnplant,
rows,
level,nível
Level the terrain,Nivela o terreno
blockType,
eat,
Max your calories,Maximiza suas calorias
digest,
number,
useractivity,
Displays a list of users and when they last logged in.,Exibe uma lista de usuários e quando eles se conectaram pela última vez.
givepointsto,
Give skillpoints to another player,Dê pontos de habilidade a outro jogador
otherPlayer,
Teleport to an xyz coordinate,Se teletransporta para uma coordenada xyz
toplayer,
todark,
Teleport to the opposite side of the World,Se teletransporta para o lado oposto do Mundo
Set the durability of the item you are holding,Defina a durabilidade do item que você está segurando
forcegive,
"Give yourself an item (Forced, ignores restrictions)","Dê a si mesmo um item (Forçado, ignora restrições)"
itemName,
give,
Give yourself an item,Dê a si mesmo um item
toggle,
save,salvar
levelup,
regions,
build,
tech,
tier,
building,
Spawns a building by specifying which tier,Gera uma construção de acordo com o nível especificando.
type,
roofType,
createWindows,
buildingofmaterial,
Spawns a building by specifying the material to use,Gera uma construção de acordo com o material especificando a ser usado
Spawns item in building,Gera um item na construção
claim,
village,
Spawns a village,Gera uma vila
road,
Spawns a road,Gera uma estrada
length,
width,
buildTypeVal,
bottomType,
targetUser,
rep,
elevator,
unstuck,
Attempts to unstuck your avatar,Tenta destravar o seu avatar
Returns a list of online players,Retorna uma lista de jogadores online
Reports the current time.,Informa a hora atual.
playtime,
"Lists the playtimes for a given user, or yourself if none passed.","Lista os tempos de jogo de um determinado usuário ou de você mesmo, se nenhum nome for especificado."
other,
authlevel,
Displays your authorization level,Mostra o seu nível de autorização
smile,
Smile,Sorria
grin,
Grin,Sorrir
smirk,
Smirk,Sorriso pretensioso
yawn,
Yawn,Bocejar
frown,
Frown,Olhar severo
angry,
Angry,Bravo
regenlayer,
"Regenerates a world layer, restoring it to the state it would be in if the world were newly generated.","Regenera uma camada de mundo, restaurando-a ao estado em que estaria se o mundo fosse recém-criado."
layerName,
help,
text,texto
helpful,
claimrect,
Claims plots in a given rect.,Reivindica um lote em um determinado retângulo.
xSide,
ySide,
unclaim,
Unclaim the plot you're standing on,Cancela a reivindicação do lote em que você está
unclaimabandoned,
Unclaim plots across the world where the owner hasn't logged in for X days,Desapropria os lotes reivindicados (em todo o mundo) de um proprietário não se conecta há mais de X dias.
Adds user to current deed (if username is not provided then adds current user),"Adiciona o usuário à escritura atual (se nenhum nome de usuário for fornecido, será adicionado o usuário atual)"
username,usuário
Removes user from current deed (if username is not provided then removes current user),"Remove o usuário da escritura atual (se nenhum nome de usuário for fornecido, será removido o usuário atual)"
ownnone,
Revoke your property,Revoga a sua propriedade
ownall,
Claim all property,Reivindica todas as propriedades
owner,
Change owner of current deed,Altera o proprietário da escritura atual
newOwner,
mark,
Drops a waypoint at the current position.  Accepts an optional text string for the waypoint.,Coloca um ponto de referência na posição atual. Aceita uma linha de texto opcional para o ponto de referência.
manage,
kick,
reason,motivo
ban,
whitelist,
admin,
otherUser,
pipes,
sewage,
account,
target,
name,
createdebt,
Create debt between two players in a currency that matches the given name.,Cria dívidas entre dois jogadores em uma moeda que corresponda ao nome dado.
paybackAmount,
interest,
daysTillDue,
currencyName,
cancelalldebtfromplayer,
Cancel debt that a particular player has accumulated.,Cancela a dívida que um determinado jogador acumulou.
craft,
stockpile,
Spawns a stockpile containing stacks of the listed items.,Gera um estoque em pilha contendo os itens listados.
item1,
item2,
item3,
item4,
item5,
money,
accounts,
Display all bank accounts in the game.,Exibe todas as contas bancárias do jogo.
steamsale,
Give every player an amount of money,Dê a cada jogador uma quantia de dinheiro
amount,
currencies,
List all currencies in the game.,Lista todas as moedas do jogo.
tax,
"Tax all accounts in all currencies a specified amount of money, into the treasury by default or a specified account.","Taxa todas as contas em todas as moedas, em uma determinada quantia de dinheiro, para o tesouro por padrão ou a uma conta específica."
accountID,
carried,
Level,Nível
districts,
Commands related to user-defined districts.,Comandos relacionados a distritos definidos pelo usuário.
