English,Arabic
All property owned by a citizen.,جميع الممتلكات التي يمتلكها مواطن.
"Separate from how many total terms a citizen can serve, this value defines how many terms a citizen can have consecutively.",يحدد هذا القيمة كمية فترات المناصب التي يمكن للمواطن الحصول عليها على التوالي.
Plot,قطعة أرض
if {0} then {1},إذا {0} ثم {1}
Executive Action by {0},الإجراء التنفيذي بواسطة {0}
Change owner of {0} to {1},تغيير مالك {0} إلى {1}
Executive action by {0},إجراء تنفيذي بواسطة {0}
the Executive Office,المكتب التنفيذي
Paying,الدفع
Collecting,جمع
Ignore Auth,تجاهل المصادقة
An action to take when a law is triggered.,إجراء يتخذه عندما يتم تنشيط قانون.
Prevents the triggering action from happening.,يمنع حدوث الإجراء المُشغل.
The player or group to tax.,لاعب أو مجموعة لفرض الضرائب عليهم.
Give money to a given citizen or group.,إعطاء المال لمواطن محدد أو مجموعة.
Ignore all authorization restrictions for the triggering action.,تجاهل جميع قيود المصادقة على الإجراء المشغل.
Change the owners of a set of property.,تغيير مالكي مجموعة من الممتلكات.
The owner to assign the property.  Leave blank to remove the owner and unclaim the property.,المالك الذي سيتم تعيينه للممتلكات. اتركه فارغًا لإزالة المالك وعدم المطالبة بالممتلكات.
Change Property Owner,تغيير مالك الممتلكات
then,ثم
or event,أو حدث
Section {0},القسم {0}
Values From {0},القيم من خلال {0}
Not {0},ليس {0}
Missing context {0},سياق مفقود {0}
Citizens applied to: {0},المواطنون المطبقون: {0}
Citizens not applied to: {0},المواطنون الذين لم يُطبق عليهم: {0}
Executive Action,الإجراء التنفيذي
Results:,النتائج:
met conditions,تم استيفاء الشروط
did not meet conditions,لم يتم استيفاء الشروط
No results,لا توجد نتائج
For each citizen matching conditions:,بالنسبة لكل مواطن يطابق الشروط:
Perform the following:,قم بالقيام بالآتي:
Applied Executive Action,الإجراء التنفيذي المُطبق
Not Applied Executive Action,الإجراء التنفيذي الغير مطبق
Perform an executive action on each citizen.,قم بتنفيذ إجراء تنفيذي على كل مواطن.
Should the way a citizen votes be hidden?,هل يجب إخفاء طريقة تصويت المواطن؟
Starting replacement election for current office.,بدء انتخابات استبدال للمنصب الحالي.
There's already an active election regarding {0}: {1},هناك انتخاب نشط بالفعل بخصوص {0}: {1}
{0} started for {1}!,بدأت {0} لـ {1}!
{0} vetoed.,تم إقصائه {0}.
Remove constitutional articles,إزالة مواد دستورية
Add new constitutional articles:,إضافة مواد دستورية جديدة:
"Specifies a change to the constituion. Allows adding, removing, and changing of civic articles.",تحدد تغييرًا في الدستور. يسمح بإضافة وإزالة وتغيير المواد المدنية.
An optional existing article that is removed with this amendment.,مقالة اختيارية موجودة وسيتم إزالتها بهذا التعديل.
A new article that will be added to the constitution.,مقالة جديدة سيتم إضافتها إلى الدستور.
"Must set either a new constitutional article, or specify an article to be removed (or both).",يجب تحديد مادة دستورية جديدة، أو تحديد مادة يتم إزالتها (أو كلاهما).
caused by {0},ناتجة عن {0}
change {0},تغيير {0}
perform {0},أداء {0}
Elected Titles,الألقاب المنتخبة
Executive Actions,الإجراءات التنفيذية
Removed by {0}.,تمت إزالته بواسطة {0}.
To {0}:,إلى {0}:
{0} may do so immediately.,قد يقوم {0} بذلك على الفور.
Nobody,لا أحد
failing,يفشل
This is a special {0} that cannot be changed.,هذا هو {0} الخاص الذي لا يمكن تغييره.
{0} already owns {1}.,{0} يمتلك بالفعل {1}.
{0} now owns {1}.,الآن {0} يمتلك {1}.
"There is no existing citizen with username, steamid, or slgid '{0}'.",لا يوجد مواطن حالي بهذا الاسم، معرف Steam أو معرف slgid '{0}'.
Ignored users list:,قائمة المستخدمين المتجاهلين:
You are not a citizen on this server,أنت لست مواطنًا على هذا الخادم
Disconnected from server,تم قطع الاتصال من الخادم
User was logged in from another client.,تم تسجيل دخول المستخدم من عميل آخر.
{0} in the World,{0} في العالم
{0} required,{0} مطلوب
Labor,عمل
Tagged Items,العناصر المعبر عنها بواسطة العلامات
({0:username} {1:verb} by {2:bonus amount}),({0:username} {1:verb} بواسطة {2:bonus amount})
"[When carried, use right-click to place.]",
"[When carried, use hammer to construct, or right-click to stack.]",
on table,على الطاولة
"Number of hours between executions of this action.  It's run immediately when installed, then at this interval.",عدد الساعات بين تنفيذ هذا الإجراء. يتم تشغيلها فورًا عند التثبيت ، ثم عند هذا الفاصل الزمني.
Movement of items between inventories by a citizen.,حركة العناصر بين المخزونات من قبل المواطن.
Currency used.,العملة المستخدمة.
Amount for payment.,المبلغ للدفع.
The citizen who posted the work.,المواطن الذي نشر العمل.
Current percent completion of total work.,الانتهاء الحالي في المئة من إجمالي العمل.
A citizen offered a contract.,قدم مواطن عقدًا.
A citizen accepted a contract.,قبل مواطن عقدًا.
A citizen failed a contract.,فشل المواطن في العقد.
A citizen completed a contract successfully.,أتم المواطن عقدًا بنجاح.
A citizen started a work party.,بدأ مواطن حزب العمل.
A citizen joined a work party.,انضم مواطن لحزب العمل.
A citizen left a work party.,غادر مواطن حزب العمل.
A work party was completed.,اتم حزب العمل.
A citizen performed work for a work party.,قام مواطن بالعمل لحزب العمل.
Percent of work contributed.,نسبة العمل المساهمة فيها.
Was it a loan or bond?,كان قرضًا أو سندًا؟
A citizen offered a loan or bond.,قدم مواطن قرضًا أو سندًا.
A citizen accepted a loan or bond.,قبل مواطن قرضًا أو سندًا.
A citizen repaid a loan or bond successfully.,سدد المواطن قرضًا أو سندًا بنجاح.
A citizen failed to pay back a loan or bond by the due date.,فشل المواطن في سداد القرض أو السند بحلول الموعد المحدد.
A citizen either fit or ceased to fit the criteria for a demographic.,أصبح المواطن جزءًا من التصنيف السكاني أم توقف عن الكون جزءًا منه؟
The citizen who changed demographics.,المواطن الذي غير التصنيف السكاني.
"Did The citizen become part of the demographic, or stop being part?",هل أصبح المواطن جزءًا من الفئة الديموغرافية أم توقف عن كونه جزءًا منها؟
A citizen claimed or unclaimed property.,تمت مطالبة المواطن بالممتلكات المطالب بها أو غير المطالب بها.
The citizen who claimed or unclaimed the land.,المواطن الذي زعم الممتلكات المطالب بها أو غير المطالب بها.
A citizen paid tax.,دفع المواطن ضريبة.
The citizen who paid.,المواطن الذي دفع.
A citizen received allocated government money.,تلقى المواطن أموالاً مخصصة من الحكومة.
The citizen who was paid.,المواطن الذي تم دفعها له.
The citizen who performed the action.,المواطن الذي قام بالإجراء.
A citizen voted in an election.,قام المواطن بالتصويت في انتخابات.
"If they voted for a citizen, this is that player.",إذا قاموا بالتصويت لمواطن، فهذا هو ذلك اللاعب.
A citizen started an election.,بدأ مواطن انتخابات.
A citizen entered or left an election as a candidate.,دخل مواطن أو غادر انتخابات بصفة مرشح.
Did the citizen enter or leave the election?,هل دخل المواطن أو غادر الانتخابات؟
A citizen won an election.,فاز مواطن في انتخابات.
A citizen lost an election.,خسر مواطن في انتخابات.
A citizen took a new specialty.,اختار المواطن تخصصًا جديدًا.
A citizen took a specialty in a profession they don't have yet.,اختار المواطن تخصصًا في مهنة ليس لديها حتى الآن.
A citizen leveled-up a specialty.,رفع المواطن مستوى تخصص.
"A citizen leveled-up their character, gaining a new specialty to choose.",رفع المواطن مستوى شخصيته، مكتسبًا تخصصًا جديدًا للاختيار من بينه.
The citizen leveling up.,تطوير المواطن.
The citizen's new level.,مستوى المواطن الجديد.
A citizen planted a plant.,زرع المواطن نبتة.
The citizen planting the plant.,المواطن الذي زرع النبتة.
Was the plant or animal destroyed or damaged?,هل تم تدمير أو تلف النبات أو الحيوان؟
A citizen chopped a tree.,قام المواطن بتقطيع شجرة.
A citizen chopped a stump.,قام المواطن بتقطيع جذع.
The total number of items to be created.,إجمالي عدد العناصر التي سيتم إنشاؤها.
The citizen who performed the interaction.,المواطن الذي قام بالتفاعل.
The work order.,أمر العمل.
A citizen added to a work order.,تمت إضافة مواطن إلى أمر العمل.
The ingredient being added.,المكون المضاف.
The number of that item added.,عدد العناصر المضافة.
A work order was created.,تم إنشاء أمر عمل.
The item being crafted.,العنصر الذي يتم صنعه.
The type of the block.,نوع الكتل
A citizen posted a chat message.,مواطن قام بنشر رسالة في الدردشة.
A citizen remained logged in for a moment.,ظل المواطن متصلاً لبعض الوقت.
A citizen logged in for the first time.,مواطن قام بتسجيل الدخول لأول مرة.
