English,SimplifedChinese
Large Corrugated Steel Door,大型波纹钢门
Large Hanging Lumber Sign,大型木制标志
Large Hanging Stone Sign,大型石制标志
Large Lumber Door,大木门
Large Standing Lumber Sign,大块木制标志
Large Standing Stone Sign,大块石制标志
Large Windowed Lumber Door,带窗户的大木门
Lathe,车床
Latrine,厕所
Lumber Door,木门
A door made from finely cut lumber.,由经精细切割木材制作的门。
Machinist Table,机械师工作台
Real Estate Desk,房地产交易所
A place to manage the sale and transfer of deeds and property.,管理契据和土地的出售与转让场所。
Robotic Assembly Line,机器人装配线
Rug Large,大号地毯
Rug Medium,中号地毯
Rug Small,小号地毯
Screw Press,螺旋压榨机
Shaper,刨床
A small sign for all of your smaller text needs!,文字较少时，一块小牌子就足够了！
Small Hanging Lumber Sign,小块木制标志
Small Hanging Stone Sign,小块石制标志
Small Standing Lumber Sign,小块木制标志
Small Standing Stone Sign,小块石制标志
Small Stockpile,小型料堆
Designates a 3x3x3 area as storage for large items.,指定一块 3x3x3 区域，用于存放大件物品。
Steam Engine,蒸汽机
A large steam engine for generating power.,发电用的大型蒸汽机。
Steel Ceiling Light,钢制顶棚灯
A more modern way to light up a room.,更现代的室内照明方式。
Steel Floor Lamp,钢制落地灯
A more modern way to light up a room. This time from the floor.,更现代的室内照明方式。这次是安装在地板上。
Steel Table Lamp,钢制台灯
"For late night studying. Or working. Or anything, really.",用于夜间学习，或工作，或执行其他确实可行的事情。
Stone Door,石门
A heavy stone door.,重型石门。
Store,商店
Stuffed Elk,驼鹿标本
It looks so real!,看起来太逼真了！
Table,Tisch
Tiny Stockpile,微型料堆
Designates a 2x3x2 area as storage for large items.,指定一块 2x3x2 区域，用于存放大件物品。
Wooden Ceiling Light,木制顶棚灯
Wooden Floor Lamp,木制落地灯
Wooden Table Lamp,木制台灯
{0} has raised the seas by {1}!,{0}让海平面上升了 {1}！
Current sea level: {0}  Amount raised so far: {1},目前海平面：{0}，目前为止的上升量：{1}
Compost,堆肥
Water,水
4 x 1 Dirt Ramp.,4 * 1 泥土坡道。
Starter Camp,初始营地
Garbage,垃圾
A disgusting pile of garbage.,一堆令人恶心的垃圾。
Liquid Crafter,水流制作台
Liquid Converter,液体转换器
Pump,泵
Connected to water source.,已连接至水源。
Not connected to water source.,未连接水源。
Steam Tractor,蒸汽拖拉机
A tractor powered through steam.,用蒸汽驱动的拖拉机。
Toll,通行费
You don't have access to directly switch this; you must pay the toll.,你无权直接打开；必须支付通行费。
Can link energy.,可连接能量。
No room for filtered waste.,尚无空间容纳滤渣。
"{0} disabled, no room left for filtered waste.",已禁用{0}，尚未留置空间以存放滤渣。
Flood fixing tool! Left click to remove the top water layer. (Target a wall touching water).,抗洪工具！单击左键以去除最高水位。（瞄准与水接触的墙）。
DOES CHEATER THINGS THROUGH CHEATING POWERS,强大工具，有助轻松摒弃一切，随时获取所需物品
Used to till soil and prepare it for planting.,用于犁地，为种植做好准备。
Measures the water content of the environment.,测量环境内的含水量。
Beaker and measuring tools for detecting the factors influencing plants in the environment.,烧杯及测量工具，用于检测影响环境内植物的因素。
A smoke that contains a combination of pollutants.,这种烟包含多种污染物。
A reactive gas needed for respiration.,呼吸所需的反应气体。
A byproduct gas of respiration.,呼吸的副产气体。
An inert gas.,惰性气体。
Government,公会
Economy Viewer,“经济情况”界面
Remove blocks from the property at {0} until there are less than {1}.,为{0}处的土地移除地块，直至其数量少于 {1}。
Logged out. Last online {0} ago,已登出。上一次在线时间为 {0} 前
Unauthorized,未经授权
Pipe particle emitter,管状粒子发射器
WorldObject,
No empty tilled blocks in range.,范围内无空置的耕地地块。
voted,已投票
Turned on,已打开
Turned off,已关闭
Must have an owner to function.,必须具有所有者方可发挥功能。
{0}ms,
LAN,局域网
Recent,最近
(Skip all tutorials),（跳过所有教程）
Next,下一项
Item,物品
Property Rights,土地权
Payment,付款
{0} more copy of this contract available.,该合同有另外 {0} 份副本可用。
{0} more copies of this contract available.,该合同有另外 {0} 份副本可用。
Contracts,合同
{0} began fast forwarding the server.,{0}开始对服务器进行快进操作。
{0} stopped fast forwarding the server.,{0}停止服务器快进。
Discovered first by {0} on {1},由{0}于 {1}首次发现
Global level-ups: {0},全面升级：{0}
{0} has abandoned the {1} specialty.,{0}已放弃{1}专业。
The property on this deed can only be unclaimed by {0},本契据上的土地只能由{0}放弃认领
Owned by {0},由 {0} 拥有
{0} gave {1} a review: {2},{0}为{1}提供了评价： {2}
A trade from {0} failed because you didn't have enough {1}.,来自{0}的交易失败，因为你尚无足够{1}。
Sales,销售
{0} claimed their community distributed items: {1},{0}已获得其社区分发的物品： {1}
{0} gave {1} to {2} in exchange for {3}.,{0}把{1}给了{2}，以用来交换{3}。
You gave {0} to {1} in exchange for {2}.,你把{0}给了{1}，以用来交换{2}。
{0} only has {1}.,{0}仅有{1}。
{0} is only selling {1}.,{0}仅在出售{1}。
{0} is not selling any more {1}.,{0}不再出售{1}。
{0} is only buying {1}.,{0}仅购买{1}。
{0} is not buying any more {1}.,{0}不再购买{1}。
{0} bought {1} from {2},{0}从{2}处购买了{1}
You don't own this deed.,你并非该契据的所有者。
Meteor destruction sequence cancelled.,已取消流星摧毁顺序。
Sea Level,海平面
Temperature,温度
Ground Pollution,地面污染
CO2 In Atmosphere,大气中的 二氧化碳
{0} Population,{0}人口
Sell,出售
Play,开始游戏
Pay Tax,交税
Harvest,收割
Choose a World to Join.,选择要加入的世界。
Authorization,授权
Are you sure you want to delete all markers?,是否确定要删除所有标记？
Skip the rest of the tutorial?,是否要跳过教程的其余部分？
Generate a random new world? This will take a while.,是否要生成随机的新世界？此操作将需要花费一些时间。
{0} unlock,解锁 {0} 次
{0} - day {1} - {2} users online,{0} - 第 {1} 天 - {2} 名用户在线
File,文件
Sleeping users:\r\n{0},熟睡中的用户：\r\n{0}
{0} sleeping users.,{0} 名熟睡中的用户。
Browse Mods,浏览 模组
"Players can give or take up to 10 reputation per day, and each day it replenishes up to 10.\n\nReputation allows you to see how a player has interacted with others in the world, using that information to make decisions.",玩家每天最多可给予或接受 10 声望，而且每天最多可将声望值补充至 10。\n\n通过声望，即可了解玩家如何与世界上的其他人互动。你可利用这些信息作出决策。
Repetitions,重复
Designates how many times people can claim this contract before it is no longer offered.  Zero means unlimited.,不再提供此合同前，指定此合同可供人们申请的次数。零意味着无任何限制。
Collapse All,全部折叠
Expand All,全部展开
This object requires a connection to a set of other objects via the power grid in order to function.  Nearby objects are automatically connected via the power grid.,此物品需要通过电网与另一组物品连接，方可发挥作用。附近物品将通过电网实现自动连接。
Load this world?,是否要加载此世界？
Pollution,污染
Vehicles,车辆
Blocks,地块
Modules,模块
Seed,种子
Skill Books,技能书
Skill Scrolls,技能卷轴
World Object,世界物品
Tech,技术
Crop,作物
Fuel,燃料
Road,道路
Total Value of Stock: {0},现货总价值：{0}
This {0} is unowned.,此{0}无主。
This {0} belongs to a deed: {1},此{0}属于契据： {1}
This {0} is on unowned property.,{0}在无所属的土地上。
This {0} is on land that belongs to a deed: {1},此{0}位于由契据所有的土地上：{1}
syncs / frame,同步 / 帧
Degrees,度
PPM,百万分率
Organisms,有机体
Votes,投票
Specialties,专业
Items,物品
Stumps,树桩
Currencies,货币
Hours,小时
Coins,硬币
Messages,消息
If {0},若{0}
currency,货币
level of,水平
your,你的
actions,行动
where,位置
MISSING CURRENCY,缺少货币
Otherwise,否则
you are a,你是
or,或
Species,物种
Is,是
Is not,并非
Using,使用
Not using,不使用
{0} and {1},{0}和{1}
item is,物品为
object is,目标为
skill is,技能为
not,并非
currency is,货币为
Humans,人类
Ecosystem,生态系统
Populations,人口
Population,人口
Allow,允许
Prevent,防止
Condition,条件
A truck that runs on steam.,以蒸汽为动力运行的卡车。
Credit,信用货币
Public Server,公共服务器
Playtime,游戏时间
Discord Address,Discord 地址
Password,密码
Description,说明
IPAddress,互联网协议 地址
Rate,速率
Language,语言
Specialty Cost Multiplier,专业成本系数
Skill Gain Multiplier,技能获取系数
Spawn Location,生成地点
Reputations,声望
online,在线
Create Meteor,创建流星
Meteor Impact Days,距离发生流星撞击的总天数
Save Name,保存名称
Save Frequency,保存频率
Cleanup Files On Exceptions,清理异常文件
Storage Directory,存储目录
Enabled,已启用
Max Backups In Last Hour,上一小时的最大备份数量
Backup Frequency In Hours,备份频率（以小时计）
Dimensions,尺寸
Height,高度
Frequency,频率
Radius Range,半径范围
Depth Range,深度范围
Atmosphere Type,大气类型
World Tick CPU Max,Tick 世界内的 中央处理器 最大值
List of mod.io mod ids that this server is subscribed to.,此服务器订阅的mod.io模组编号列表
Whitelist Enabled,已启用白名单
Live Update Unity Files,实时更新 Unity 文件
Subscribed Mods,已订阅的 模组
Loading {0},正在加载{0}
Generating special features,正在生成特殊功能
Ticking (Pass 1),正在刷新（经过 1）
Ticking (Pass 2),正在刷新（经过 2）
Computing stats,正在计算统计信息
Compressing,正在压缩
Ticking,正在刷新
Starting {0},正在开始{0}
Initializing {0},正在初始化{0}
Loading {0}...,正在加载{0}……
Loading mods,正在加载 模组
Calorie Consumption,卡路里消耗量
Layers,图层
Spread Rate,扩散速度
Operator,运算符
Layer1Name,图层 1 名称
Layer2Name,图层 2 名称
Weight1,重量 1
Weight2,重量 2
Change Rate,变化率
Modified Layer Name,修改后的图层名称
Spread Ratio,扩散比例
Height Bias,高度偏差
Post Worldgen Ticks,世界生成后的 刷新 数
